,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
ABLIM1,0.25447127,0.29270777,0.26608396,-6e-45,0.30068225,-1.3e-44,0.26257664,0.2705887,0.287735,0.2571329,0.292593,-1.5e-44,-1.4e-44,0.29693723,2.0696152e-07,0.29271966
ABLIM3,0.028223678,0.32014436,0.028272353,-4e-45,0.32811362,-1e-44,0.029073827,0.030500025,0.31538424,0.02822166,0.31989717,-1e-44,-1.1e-44,0.3244488,1.5053064e-07,0.32145318
ABO,0.016358912,0.28675935,0.0161535,-3e-45,0.29367873,-8e-45,0.017165028,0.01775717,0.2827025,0.016075917,0.28638858,-7e-45,-8e-45,0.29051527,1.2196695e-07,0.28818825
ABR,0.051458925,0.33922926,0.05247353,-4e-45,0.34785897,-1.1e-44,0.052842475,0.05525302,0.33401197,0.05181983,0.33906883,-1.1e-44,-1.3e-44,0.34387317,1.7304708e-07,0.34037212
ABRACL,0.054975763,0.28288108,0.056735955,-4e-45,0.28982586,-8e-45,0.05701229,0.058739357,0.2787719,0.05515007,0.2825358,-8e-45,-1e-44,0.28663716,1.3159804e-07,0.28408742
ABTB2,0.043952048,0.3867469,0.044111215,-4e-45,0.3967805,-1.3e-44,0.044644408,0.04749181,0.3806103,0.044414736,0.38673753,-1.3e-44,-1.4e-44,0.3921319,2.0746728e-07,0.38786298
AC002117.1,0.028554842,0.3210454,0.02861081,-4e-45,0.32904297,-1e-44,0.029406331,0.030855708,0.31626627,0.028560653,0.3208015,-1e-44,-1.1e-44,0.3253645,1.5155912e-07,0.32235092
AC002331.1,0.01270061,0.3953724,0.0112133995,-4e-45,0.4055509,-1.3e-44,0.012343921,0.014349878,0.38916904,0.012815177,0.39536077,-1.3e-44,-1.4e-44,0.40084425,2.036453e-07,0.39666033
AC002451.3,-0.00037774578,0.3799183,-0.0004162328,-3e-45,0.38944554,-1e-44,-0.00039541005,-0.0003930764,0.37419146,-0.00038341968,0.37980503,-1e-44,-1.3e-44,0.3850649,1.7467433e-07,0.38152805
AC002454.1,-0.00014410808,0.39202672,-0.00017216489,-4e-45,0.40200478,-1.1e-44,-0.00015572592,-0.00014449387,0.38598067,-0.00014642566,0.39197713,-1.1e-44,-1.3e-44,0.39740252,1.918259e-07,0.39348006
AC004069.2,0.2596417,0.29047087,0.27153498,-6e-45,0.29839694,-1.3e-44,0.2679285,0.2760684,0.28552526,0.26235765,0.29035378,-1.5e-44,-1.4e-44,0.29467314,2.0700278e-07,0.29045552
AC004156.3,-0.00016409009,0.37673667,-0.00019159749,-4e-45,0.38624656,-1.1e-44,-0.00017485007,-0.0001663798,0.37100118,-0.00016727552,0.37663388,-1.1e-44,-1.3e-44,0.38186666,1.7990486e-07,0.37822467
AC004754.3,-0.00020912274,0.35021475,-0.00023619086,-3e-45,0.3589092,-1e-44,-0.00021869942,-0.00021535232,0.34502184,-0.00021393939,0.350019,-1e-44,-1.1e-44,0.35491747,1.5737261e-07,0.3517693
AC004854.4,-0.00012986377,0.33673093,-0.00015161365,-3e-45,0.3450482,-1e-44,-0.00013569042,-0.00013179466,0.33177945,-0.00013425753,0.33649802,-8e-45,-1.1e-44,0.34123248,1.498396e-07,0.33825874
AC004951.6,0.25854188,0.28596932,0.2704259,-6e-45,0.2937557,-1.3e-44,0.2668382,0.2748809,0.28111684,0.26122594,0.28583607,-1.5e-44,-1.4e-44,0.29009846,2.0314452e-07,0.2859672
AC005082.12,0.23032568,0.22331108,0.24143633,-4e-45,0.22910608,-1e-44,0.23835588,0.24464795,0.21979854,0.23240791,0.22294095,-1.1e-44,-1e-44,0.22640236,1.4501472e-07,0.22356975
AC006129.2,0.25045103,0.2710058,0.26208284,-6e-45,0.27831167,-1.1e-44,0.25864196,0.26622492,0.26647785,0.25297475,0.27081466,-1.4e-44,-1.3e-44,0.27488497,1.8879756e-07,0.27107397
AC006369.2,0.25524747,0.28118297,0.26701558,-6e-45,0.28881305,-1.3e-44,0.2634883,0.2713622,0.27643666,0.25787163,0.28103048,-1.5e-44,-1.4e-44,0.285231,1.9831427e-07,0.28120753
AC006449.2,-0.00045367298,0.39149427,-0.0004971161,-3e-45,0.40134245,-1.1e-44,-0.0004747869,-0.0004731816,0.38556284,-0.00045980795,0.39141202,-1e-44,-1.3e-44,0.39681238,1.813328e-07,0.39313176
AC007038.7,0.06370108,0.3321613,0.065397725,-4e-45,0.34062293,-1e-44,0.06553084,0.06821977,0.32704347,0.064183496,0.33198917,-1.1e-44,-1.3e-44,0.33671242,1.7237339e-07,0.3332423
AC007325.4,0.07137531,0.27728778,0.074010454,-4e-45,0.28412408,-8e-45,0.07397295,0.07612614,0.2732346,0.07172787,0.27693978,-8e-45,-1e-44,0.28098106,1.3396608e-07,0.2784056
AC007349.5,0.007107243,0.30262887,0.006279677,-3e-45,0.30999246,-8e-45,0.0074744374,0.008004345,0.29828775,0.006775424,0.30230194,-8e-45,-1e-44,0.30662167,1.3075578e-07,0.3040888
AC007381.3,-6.881163e-05,0.35172653,-8.903444e-05,-4e-45,0.36051786,-1e-44,-7.421046e-05,-6.632089e-05,0.34645614,-7.184833e-05,0.35154957,-1e-44,-1.1e-44,0.35647517,1.6418876e-07,0.3531956
AC007383.3,-0.00014311269,0.33856022,-0.00016570732,-3e-45,0.3469277,-1e-44,-0.0001495254,-0.00014578164,0.33357677,-0.00014759436,0.33833218,-8e-45,-1.1e-44,0.34308875,1.5094952e-07,0.34009317
AC007386.2,-0.00065064593,0.43159837,-0.0007079756,-3e-45,0.4425823,-1.1e-44,-0.00068173645,-0.0006805512,0.4249355,-0.00065756333,0.4316306,-1.1e-44,-1.4e-44,0.43752077,2.0526447e-07,0.4332921
AC007386.4,0.0012787059,0.40469116,-8.725226e-06,-4e-45,0.41510844,-1.3e-44,0.0004791692,0.0022640452,0.39834085,0.0012911409,0.40469933,-1.3e-44,-1.4e-44,0.41029263,2.068881e-07,0.4060327
AC007405.6,0.01596596,0.36166227,0.01498276,-4e-45,0.37083703,-1.1e-44,0.016035818,0.017668627,0.35611796,0.015983135,0.36154115,-1.1e-44,-1.3e-44,0.36660486,1.7930962e-07,0.36298135
AC007880.1,-9.08421e-05,0.3301843,-0.000109983084,-3e-45,0.3383187,-1e-44,-9.4831434e-05,-9.0652255e-05,0.32534987,-9.5023956e-05,0.3299334,-8e-45,-1.1e-44,0.33458826,1.4618787e-07,0.33169883
AC008079.10,0.25874585,0.2875445,0.27062404,-6e-45,0.29537907,-1.3e-44,0.26703322,0.27510434,0.28266,0.26143885,0.2874167,-1.5e-44,-1.4e-44,0.2916989,2.0443274e-07,0.28753883
AC008088.4,0.065670505,0.380381,0.06697738,-4e-45,0.3903026,-1.3e-44,0.06709516,0.07052266,0.37429816,0.066373765,0.38037175,-1.4e-44,-1.4e-44,0.38569957,2.1004792e-07,0.38137805
AC008753.6,0.056104086,0.33836427,0.057359368,-4e-45,0.34698486,-1.1e-44,0.057639852,0.060180858,0.3331485,0.05651834,0.33820543,-1.1e-44,-1.3e-44,0.34300178,1.7455409e-07,0.33948103
